init_cond	constr_cond	run_number	seq_length	mutation	mut_scaled	mutation_tot	mut_scaled_tot	mut_mean	esr_mean	A3SS_R1_mean	A3SS_R2_mean	A5SS_R1_mean	A5SS_R2_mean
exon	neutral	0	915	0	0.0	0	0.0	0.00468629684845173	-0.052582990626373616	0.14678316873267044	-0.232127485020062	0.05147980563038281	0.095905123114601
exon	neutral	0	915	183	0.2	188	0.20546448087400002	0.004494464439708561	-0.07749269874725274	0.20287375797674584	-0.3284924464994516	-0.013357342548701636	0.10100660735112546
exon	neutral	0	915	366	0.4	373	0.40765027322400005	0.004558128773770492	-0.07346127341758242	0.26059280362025916	-0.35524714605894014	0.002866842951333713	0.11826980393990191
exon	neutral	0	915	549	0.6	559	0.610928961749	0.004267146406921676	-0.08719687735164834	0.2427813861089578	-0.43421260419687197	-0.04882563800040556	0.10964003154855141
exon	neutral	0	915	732	0.8	745	0.814207650273	0.0037896290211293267	-0.09917629623076922	0.2435133231736813	-0.45620317396984283	-0.03993084929250559	0.11093923995502916
exon	neutral	0	915	915	1.0	938	1.02513661202	0.004215136515482696	-0.07398676305494505	0.25628305018651726	-0.43538804645184837	-0.07140583559229077	0.11634218037541164
exon	neutral	0	915	1098	1.2	1123	1.2273224043700002	0.004017755177413479	-0.07633305132967033	0.2827246870905595	-0.43491317722538775	-0.05642509477856778	0.12119886792962617
exon	neutral	0	915	1281	1.4	1310	1.43169398907	0.004058177072495447	-0.05331382101098901	0.2579916283153808	-0.3631248162800419	-0.017029126949568516	0.11899811223012687
exon	neutral	0	915	1464	1.6	1500	1.6393442622999999	0.0042921787719489984	-0.06803199917582418	0.24204594017694211	-0.39169634233563827	-0.05175837219925562	0.12275388060825355
exon	neutral	0	915	1647	1.8	1691	1.8480874316900002	0.004052171661930784	-0.0825622635164835	0.23322011029344272	-0.4387675377527915	-0.07868197355442287	0.11667178577367773
exon	neutral	0	915	1830	2.0	1881	2.0557377049200003	0.00404209442003643	-0.07035599416483516	0.24218016362447592	-0.3694457029599548	-0.012243211097646627	0.12185005068062318
exon	neutral	0	915	2013	2.2	2072	2.2644808743200002	0.004108215460837888	-0.07342758614285716	0.23995582908143587	-0.38004792006620985	-0.003712018815269466	0.11633546980733474
exon	neutral	0	915	2196	2.4	2260	2.46994535519	0.003686998863387978	-0.06751799362637362	0.21039913684262332	-0.3665189779690929	-0.03617220622465067	0.10943325582862201
exon	neutral	0	915	2379	2.6	2449	2.67650273224	0.003970941759198543	-0.060578233758241756	0.20732877980259765	-0.3662689204965463	-0.06093570276419775	0.10426899690839952
exon	neutral	0	915	2562	2.8	2645	2.89071038251	0.004171667050637522	-0.08158431972527473	0.19659302763933123	-0.38558677180226175	-0.10441623274672042	0.11289625799103753
exon	neutral	0	915	2745	3.0	2837	3.1005464480900002	0.0038783048983606553	-0.06430360749450549	0.20189105139385807	-0.3622004334049747	-0.12051565597036176	0.11820215782180969
exon	neutral	0	915	2928	3.2	3024	3.3049180327900003	0.004000841378870673	-0.08353723568131868	0.1860932671292689	-0.40541346094077385	-0.11482746729128611	0.11180214539110263
exon	neutral	0	915	3111	3.4	3217	3.51584699454	0.0038969626061930783	-0.08198095764835164	0.2076750968811292	-0.37741900826811237	-0.06811182347231694	0.1012914109199175
exon	neutral	0	915	3294	3.6	3407	3.7234972677599996	0.0040032601974499095	-0.0733793133846154	0.24582891335153226	-0.3755367523705855	-0.06425069382921207	0.10222464248895213
exon	neutral	0	915	3477	3.8	3603	3.93770491803	0.00405717276575592	-0.08409265284615385	0.2553263813378709	-0.4153302771361637	-0.08946191407042936	0.10698252039062477
exon	neutral	0	915	3660	4.0	3798	4.150819672130001	0.0040557869748633875	-0.07830627756043955	0.24336251602754835	-0.42787416551455476	-0.09451370846096155	0.1048625400374611
exon	neutral	0	915	3843	4.2	3990	4.3606557377	0.0037403477402550094	-0.09252977031868131	0.2582374254354044	-0.4567626318867544	-0.08422887629563987	0.10916398026371646
exon	neutral	0	915	4026	4.4	4178	4.56612021858	0.004003983543897996	-0.07729474573626374	0.2307474152450101	-0.4224324032862386	-0.05212719242132508	0.10404225737172132
exon	neutral	0	915	4209	4.6	4367	4.77267759563	0.003922708808743169	-0.07383018789010988	0.24464151414550114	-0.40537509309805114	-0.06310568569539304	0.10241114590672323
